@W: BN309 |One or more non-fatal issues found in constraints; Please run Constraint Check for analysis
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_3.uart_fifo_0.cnt[4:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_3.uart_fifo_0.RD_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_3.uart_fifo_0.WR_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_4.uart_fifo_0.cnt[4:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_4.uart_fifo_0.RD_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_4.uart_fifo_0.WR_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_5.uart_fifo_0.cnt[4:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_5.uart_fifo_0.RD_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_5.uart_fifo_0.WR_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_6.uart_fifo_0.cnt[4:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_6.uart_fifo_0.RD_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_6.uart_fifo_0.WR_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_7.uart_fifo_0.cnt[4:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_7.uart_fifo_0.RD_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_7.uart_fifo_0.WR_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_8.uart_fifo_0.cnt[4:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_8.uart_fifo_0.RD_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_8.uart_fifo_0.WR_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_9.uart_fifo_0.cnt[4:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_9.uart_fifo_0.RD_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|User-specified initial value defined for instance LVDS_UART_TOP_0.LVDS_UART_9.uart_fifo_0.WR_PTR[3:0] is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\reset_syn_0\reset_syn_0_0\core\corereset_pf.v":50:0:50:5|User-specified initial value defined for instance reset_syn_0_0.reset_syn_0_0.dff_1 is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\reset_syn_0\reset_syn_0_0\core\corereset_pf.v":38:0:38:5|User-specified initial value defined for instance reset_syn_0_0.reset_syn_0_0.dff_0 is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\reset_syn_1\reset_syn_1_0\core\corereset_pf.v":50:0:50:5|User-specified initial value defined for instance reset_syn_1_0.reset_syn_1_0.dff_1 is being ignored due to limitations in architecture. 
@W: FX1172 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\reset_syn_1\reset_syn_1_0\core\corereset_pf.v":38:0:38:5|User-specified initial value defined for instance reset_syn_1_0.reset_syn_1_0.dff_0 is being ignored due to limitations in architecture. 
@W: FX107 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreddr_tip\2.0.100\rtl\vlog\core\ram_simple_dp.v":48:0:48:5|RAM DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.LANE_ALIGNMENT.genblk1\[1\]\.FIFO_BLK.ram_simple_dp.mem[63:0] (in view: work.top(rtl)) does not have a read/write conflict check. Possible simulation mismatch. To resolve a read/write conflict, either set syn_ramstyle = rw_check, or enable the "Read Write Check on RAM" Implementation Option. For more information, search for "read/write conflict check" in Online Help.
@W: FX107 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreddr_tip\2.0.100\rtl\vlog\core\ram_simple_dp.v":48:0:48:5|RAM DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.LANE_ALIGNMENT.genblk1\[0\]\.FIFO_BLK.ram_simple_dp.mem[63:0] (in view: work.top(rtl)) does not have a read/write conflict check. Possible simulation mismatch. To resolve a read/write conflict, either set syn_ramstyle = rw_check, or enable the "Read Write Check on RAM" Implementation Option. For more information, search for "read/write conflict check" in Online Help.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreahblite\5.4.102\rtl\vlog\core\coreahblite_masterstage.v":237:0:237:5|Register bit COREAHBLITE_0_0.COREAHBLITE_0_0.matrix4x16.masterstage_0.SDATASELInt[16] (in view view:work.top(rtl)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: BN132 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreddr_tip\2.0.100\rtl\vlog\core\coreddr_tip_int.v":1051:0:1051:5|Removing instance DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.DQSW_DELAY_LINE_DIRECTION[1] because it is equivalent to instance DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.CMD_DELAY_LINE_DIRECTION. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreddr_tip\2.0.100\rtl\vlog\core\coreddr_tip_int.v":1051:0:1051:5|Removing instance DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.DQSW_DELAY_LINE_DIRECTION[0] because it is equivalent to instance DDR3_0_0.DDRPHY_BLK_0.IOD_TRAINING_0.COREDDR_TIP_INT_U.CMD_DELAY_LINE_DIRECTION. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: FX107 :"c:\users\public\documents\libero\solution - copy\libero_project\hdl\uart_fifo.vhd":85:2:85:3|RAM uart_fifo_0.fifo_array[7:0] (in view: work.LVDS_UART(rtl)) does not have a read/write conflict check. Possible simulation mismatch. To resolve a read/write conflict, either set syn_ramstyle = rw_check, or enable the "Read Write Check on RAM" Implementation Option. For more information, search for "read/write conflict check" in Online Help.
@W: BN132 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\uart_apb_1\uart_apb_1_0\rtl\vhdl\core_obfuscated\rx_async.vhd":214:0:214:1|Removing instance LVDS_UART_TOP_0.LVDS_UART_9.UART_apb_1_0.UART_apb_1_0.CUARTl1il.CUARTI0OL.CUARTIO1I[2] because it is equivalent to instance LVDS_UART_TOP_0.LVDS_UART_9.UART_apb_1_0.UART_apb_1_0.CUARTl1il.CUARTI0OL.CUARTIO1I[1]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\uart_apb\uart_apb_0\rtl\vlog\core\rx_async.v":261:0:261:5|Removing instance UART_apb_0.UART_apb_0.uUART.make_RX.last_bit[2] because it is equivalent to instance UART_apb_0.UART_apb_0.uUART.make_RX.last_bit[1]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: FX107 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\corespi\5.2.104\rtl\vlog\core\spi_fifo.v":101:0:101:5|RAM fifo_mem_q[8:0] (in view: CORESPI_LIB.spi_fifo_8s_32s_5_1(verilog)) does not have a read/write conflict check. Possible simulation mismatch. To resolve a read/write conflict, either set syn_ramstyle = rw_check, or enable the "Read Write Check on RAM" Implementation Option. For more information, search for "read/write conflict check" in Online Help.
@W: FX107 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\corespi\5.2.104\rtl\vlog\core\spi_fifo.v":101:0:101:5|RAM fifo_mem_q[8:0] (in view: CORESPI_LIB.spi_fifo_8s_32s_5_0(verilog)) does not have a read/write conflict check. Possible simulation mismatch. To resolve a read/write conflict, either set syn_ramstyle = rw_check, or enable the "Read Write Check on RAM" Implementation Option. For more information, search for "read/write conflict check" in Online Help.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_synchronizer_shift_reg_w54_d1.v":84:2:84:7|Register bit debug_1.dmInner.dmiXing.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SINK.deq_bits_reg.sync_0[45] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO161 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_synchronizer_shift_reg_w54_d1.v":84:2:84:7|Register bit debug_1.dmInner.dmiXing.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SINK.deq_bits_reg.sync_0[47] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 1. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_synchronizer_shift_reg_w54_d1.v":84:2:84:7|Register bit debug_1.dmInner.dmiXing.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SINK.deq_bits_reg.sync_0[46] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_54.v":367:2:367:7|Register bit MIV_RV32IMA_L1_AXI_TLTO_AXI4.MIV_RV32IMA_L1_AXI_QUEUE_1.ram_size\[0\][2] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_17.v":367:2:367:7|Register bit converter.MIV_RV32IMA_L1_AXI_QUEUE_1.ram_len\[0\][7] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_17.v":367:2:367:7|Register bit converter.MIV_RV32IMA_L1_AXI_QUEUE_1.ram_len\[0\][6] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_17.v":367:2:367:7|Register bit converter.MIV_RV32IMA_L1_AXI_QUEUE_1.ram_len\[0\][5] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_17.v":367:2:367:7|Register bit converter.MIV_RV32IMA_L1_AXI_QUEUE_1.ram_len\[0\][4] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_17.v":367:2:367:7|Register bit converter.MIV_RV32IMA_L1_AXI_QUEUE_1.ram_size\[0\][2] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_17.v":367:2:367:7|Register bit converter.MIV_RV32IMA_L1_AXI_QUEUE_1.ram_user\[0\][6] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_async_queue_source_2.v":280:2:280:7|Register bit debug_1.dmInner.dmiXing.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SOURCE.mem_0_opcode[2] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_async_queue_source_2.v":280:2:280:7|Register bit debug_1.dmInner.dmiXing.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SOURCE.mem_0_opcode[1] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_repeater_4.v":200:2:200:7|Register bit MIV_RV32IMA_L1_AXI_TLWIDTH_WIDGET.MIV_RV32IMA_L1_AXI_REPEATER.saved_opcode[2] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_repeater_4.v":200:2:200:7|Register bit MIV_RV32IMA_L1_AXI_TLWIDTH_WIDGET.MIV_RV32IMA_L1_AXI_REPEATER.saved_opcode[1] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_28.v":330:2:330:7|Register bit buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size.buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size_ram1_[13] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_28.v":330:2:330:7|Register bit buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size.buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size_ram1_[12] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_28.v":330:2:330:7|Register bit buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size.buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size_ram1_[11] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_28.v":330:2:330:7|Register bit buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size.buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size_ram1_[10] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_28.v":330:2:330:7|Register bit buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size.buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size_ram1_[2] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_28.v":330:2:330:7|Register bit buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size.buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size_ram0_[13] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_28.v":330:2:330:7|Register bit buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size.buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size_ram0_[12] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
@W: MO160 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_queue_28.v":330:2:330:7|Register bit buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size.buffer.MIV_RV32IMA_L1_AXI_QUEUE.ram_size_ram0_[11] (in view view:work.MiV_AXI_MiV_AXI_0_MIV_RV32IMA_L1_AXI_ROCKET_SYSTEM(verilog)) is always 0. To keep the instance, apply syn_preserve=1 on the instance.
