@W: MF499 |Found issues with constraints. Please check report file C:\Users\Public\Documents\Libero\Solution - Copy\Libero_Project\synthesis\top_scck.rpt.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\wdatacontroller.v":25:7:25:39|syn_hier attribute not currently supported on instances iWrConXB\.iWrConFif\[3\]\.wrDMux. Apply syn_hier to module using name v:caxi4interconnect_WriteDataMux_Z90_layer1.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\wdatacontroller.v":25:7:25:39|syn_hier attribute not currently supported on instances iWrConXB\.iWrConFif\[2\]\.wrDMux. Apply syn_hier to module using name v:caxi4interconnect_WriteDataMux_Z90_layer1.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\addresscontroller.v":24:7:24:41|syn_hier attribute not currently supported on instances mstctrlBlk\[0\]\.mstctrl. Apply syn_hier to module using name v:caxi4interconnect_MasterControl_Z84_layer1.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\addresscontroller.v":24:7:24:41|syn_hier attribute not currently supported on instances mstctrlBlk\[1\]\.mstctrl. Apply syn_hier to module using name v:caxi4interconnect_MasterControl_Z84_layer1.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\addresscontroller.v":24:7:24:41|syn_hier attribute not currently supported on instances rrArb\.rrArb. Apply syn_hier to module using name v:caxi4interconnect_RoundRobinArb_2s_1s_1s_0.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\addresscontroller.v":24:7:24:41|syn_hier attribute not currently supported on instances trgmx. Apply syn_hier to module using name v:caxi4interconnect_TargetMuxController_Z78_layer1.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\rdatacontroller.v":24:7:24:39|syn_hier attribute not currently supported on instances MD\.genblk1\[0\]\.rdcon. Apply syn_hier to module using name v:caxi4interconnect_ReadDataController_Z86_layer1.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\rdatacontroller.v":24:7:24:39|syn_hier attribute not currently supported on instances MD\.genblk1\[1\]\.rdcon. Apply syn_hier to module using name v:caxi4interconnect_ReadDataController_Z87_layer1.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\readdatacontroller.v":24:7:24:42|syn_hier attribute not currently supported on instances rdArb\.reqQual. Apply syn_hier to module using name v:caxi4interconnect_RequestQual_4s_1s_4s_1s_5s.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\readdatacontroller.v":24:7:24:42|syn_hier attribute not currently supported on instances rdArb\.rrArb. Apply syn_hier to module using name v:caxi4interconnect_RoundRobinArb_4s_2s_1s_0.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\readdatacontroller.v":24:7:24:42|syn_hier attribute not currently supported on instances rdmx. Apply syn_hier to module using name v:caxi4interconnect_ReadDataMux_1s_4s_2s_4s_64s_0s_1s_15_5s_7s.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\readdatacontroller.v":24:7:24:42|syn_hier attribute not currently supported on instances rdArb\.reqQual. Apply syn_hier to module using name v:caxi4interconnect_RequestQual_4s_1s_4s_1s_5s.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\readdatacontroller.v":24:7:24:42|syn_hier attribute not currently supported on instances rdArb\.rrArb. Apply syn_hier to module using name v:caxi4interconnect_RoundRobinArb_4s_2s_1s_0.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\readdatacontroller.v":24:7:24:42|syn_hier attribute not currently supported on instances rdmx. Apply syn_hier to module using name v:caxi4interconnect_ReadDataMux_1s_4s_2s_4s_64s_0s_1s_15_5s_7s.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\addresscontroller.v":24:7:24:41|syn_hier attribute not currently supported on instances mstctrlBlk\[0\]\.mstctrl. Apply syn_hier to module using name v:caxi4interconnect_MasterControl_Z84_layer1.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\addresscontroller.v":24:7:24:41|syn_hier attribute not currently supported on instances mstctrlBlk\[1\]\.mstctrl. Apply syn_hier to module using name v:caxi4interconnect_MasterControl_Z84_layer1.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\addresscontroller.v":24:7:24:41|syn_hier attribute not currently supported on instances rrArb\.rrArb. Apply syn_hier to module using name v:caxi4interconnect_RoundRobinArb_2s_1s_1s_0.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\addresscontroller.v":24:7:24:41|syn_hier attribute not currently supported on instances trgmx. Apply syn_hier to module using name v:caxi4interconnect_TargetMuxController_Z78_layer1.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\mastercontrol.v":23:7:23:37|syn_hier attribute not currently supported on instances depck. Apply syn_hier to module using name v:caxi4interconnect_DependenceChecker_Z80_layer1.
@W: BN108 :"c:\users\public\documents\libero\solution - copy\libero_project\component\actel\directcore\coreaxi4interconnect\2.7.100\rtl\vlog\core\axi4crossbar\mastercontrol.v":23:7:23:37|syn_hier attribute not currently supported on instances trnscon. Apply syn_hier to module using name v:caxi4interconnect_TransactionController_2s_5s_1s_1s_2s_2s_9s_1s.
@W: BN132 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_async_queue_source.v":168:65:168:73|Removing user instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.debug_1.dmOuter.dmInner_TLAsyncCrossingSource.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SOURCE.widx_gray because it is equivalent to instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.debug_1.dmOuter.dmInner_TLAsyncCrossingSource.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SOURCE.widx_bin. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_async_queue_sink.v":183:65:183:73|Removing user instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.debug_1.dmOuter.dmInner_TLAsyncCrossingSource.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SINK.ridx_gray because it is equivalent to instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.debug_1.dmOuter.dmInner_TLAsyncCrossingSource.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SINK.ridx_bin. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_async_queue_source_1.v":151:65:151:73|Removing user instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.debug_1.dmOuter.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SOURCE.widx_gray because it is equivalent to instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.debug_1.dmOuter.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SOURCE.widx_bin. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_tldebug_module_inner_dm_inner.v":7373:2:7373:7|Removing sequential instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.debug_1.dmInner.dmInner.abstractGeneratedMem_1[5] because it is equivalent to instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.debug_1.dmInner.dmInner.abstractGeneratedMem_1[20]. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_async_queue_sink_1.v":183:65:183:73|Removing user instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.debug_1.dmInner.dmiXing.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SINK.ridx_gray because it is equivalent to instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.debug_1.dmInner.dmiXing.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SINK.ridx_bin. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_async_queue_source_2.v":168:65:168:73|Removing user instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.debug_1.dmInner.dmiXing.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SOURCE.widx_gray because it is equivalent to instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.debug_1.dmInner.dmiXing.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SOURCE.widx_bin. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN132 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\miv_axi\miv_axi_0\core\miv_rv32ima_l1_axi_async_queue_sink_2.v":161:65:161:73|Removing user instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.debug_1.dmInner.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SINK.ridx_gray because it is equivalent to instance MiV_AXI_0.MiV_AXI_0.ChiselTop0.debug_1.dmInner.MIV_RV32IMA_L1_AXI_ASYNC_QUEUE_SINK.ridx_bin. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\iod_a_11_0\ddr3_0_ddrphy_blk_iod_a_11_0_pf_iod.v":368:8:368:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_IOD_A_11_0_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\iod_a_12\ddr3_0_ddrphy_blk_iod_a_12_pf_iod.v":50:8:50:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_IOD_A_12_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\iod_a_13\ddr3_0_ddrphy_blk_iod_a_13_pf_iod.v":40:8:40:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_IOD_A_13_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\iod_a_14\ddr3_0_ddrphy_blk_iod_a_14_pf_iod.v":40:8:40:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_IOD_A_14_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\iod_a_15\ddr3_0_ddrphy_blk_iod_a_15_pf_iod.v":40:8:40:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_IOD_A_15_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\iod_ba\ddr3_0_ddrphy_blk_iod_ba_pf_iod.v":152:8:152:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_IOD_BA_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\iod_bclk_training\ddr3_0_ddrphy_blk_iod_bclk_training_pf_iod.v":38:8:38:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_IOD_BCLK_TRAINING_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\iod_cas_n\ddr3_0_ddrphy_blk_iod_cas_n_pf_iod.v":40:8:40:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_IOD_CAS_N_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\iod_cke\ddr3_0_ddrphy_blk_iod_cke_pf_iod.v":40:8:40:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_IOD_CKE_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\iod_cs_n\ddr3_0_ddrphy_blk_iod_cs_n_pf_iod.v":40:8:40:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_IOD_CS_N_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\iod_odt\ddr3_0_ddrphy_blk_iod_odt_pf_iod.v":40:8:40:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_IOD_ODT_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\iod_ras_n\ddr3_0_ddrphy_blk_iod_ras_n_pf_iod.v":40:8:40:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_IOD_RAS_N_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\iod_reset_n\ddr3_0_ddrphy_blk_iod_reset_n_pf_iod.v":40:8:40:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_IOD_RESET_N_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\iod_we_n\ddr3_0_ddrphy_blk_iod_we_n_pf_iod.v":40:8:40:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_IOD_WE_N_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\lane_0_iod_dm\ddr3_0_ddrphy_blk_lane_0_iod_dm_pf_iod.v":41:8:41:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_LANE_0_IOD_DM_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\lane_0_iod_dq\ddr3_0_ddrphy_blk_lane_0_iod_dq_pf_iod.v":330:8:330:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_LANE_0_IOD_DQ_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\lane_0_iod_dqs\ddr3_0_ddrphy_blk_lane_0_iod_dqs_pf_iod.v":64:8:64:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_LANE_0_IOD_DQS_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\lane_0_iod_read_training\ddr3_0_ddrphy_blk_lane_0_iod_read_training_pf_iod.v":54:8:54:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_LANE_0_IOD_READ_TRAINING_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\lane_1_iod_dm\ddr3_0_ddrphy_blk_lane_1_iod_dm_pf_iod.v":41:8:41:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_LANE_1_IOD_DM_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\lane_1_iod_dq\ddr3_0_ddrphy_blk_lane_1_iod_dq_pf_iod.v":330:8:330:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_LANE_1_IOD_DQ_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
@W: BN114 :"c:\users\public\documents\libero\solution - copy\libero_project\component\work\ddr3_0_ddrphy_blk\lane_1_iod_dqs\ddr3_0_ddrphy_blk_lane_1_iod_dqs_pf_iod.v":64:8:64:15|Removing instance vcc_inst (in view: work.DDR3_0_DDRPHY_BLK_LANE_1_IOD_DQS_PF_IOD(verilog)) of black box view:work.VCC(verilog) because it does not drive other instances.
